StopAreaCode,DataOwnerCode
albbns,ALGEMEEN
albstm,ALGEMEEN
albsto,ALGEMEEN
albszz,ALGEMEEN
albons,ALGEMEEN
albsie,ALGEMEEN
albmon,ALGEMEEN
albszn,ALGEMEEN
alboon,ALGEMEEN
alswwo,ALGEMEEN
alsstl,ALGEMEEN
albfbk,ALGEMEEN
alswww,ALGEMEEN
alscs,ALGEMEEN
60060,ALGEMEEN
albbbw,ALGEMEEN
StopAreaCode,DataOwnerCode
alswka,ALGEMEEN
alscom,ALGEMEEN
alskww,ALGEMEEN
alsstl,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alswka,ALGEMEEN
alscom,ALGEMEEN
alskww,ALGEMEEN
alsstl,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alswka,ALGEMEEN
alscom,ALGEMEEN
alskww,ALGEMEEN
alsstl,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alswka,ALGEMEEN
alscom,ALGEMEEN
alskww,ALGEMEEN
alsstl,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alswka,ALGEMEEN
alscom,ALGEMEEN
alskww,ALGEMEEN
alsstl,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alswka,ALGEMEEN
alscom,ALGEMEEN
alskww,ALGEMEEN
alsstl,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alswka,ALGEMEEN
alscom,ALGEMEEN
alskww,ALGEMEEN
alsstl,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alphom,ALGEMEEN
alpcol,ALGEMEEN
alppns,ALGEMEEN
alscom,ALGEMEEN
alshay,ALGEMEEN
alspas,ALGEMEEN
alsstp,ALGEMEEN
alslio,ALGEMEEN
alslim,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alphom,ALGEMEEN
alpcol,ALGEMEEN
alppns,ALGEMEEN
alscom,ALGEMEEN
alshay,ALGEMEEN
alspas,ALGEMEEN
alsstp,ALGEMEEN
alslio,ALGEMEEN
alslim,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alphom,ALGEMEEN
alpcol,ALGEMEEN
alppns,ALGEMEEN
alscom,ALGEMEEN
alshay,ALGEMEEN
alspas,ALGEMEEN
alsstp,ALGEMEEN
alslio,ALGEMEEN
alslim,ALGEMEEN
alsmns,ALGEMEEN
alscs,ALGEMEEN
StopAreaCode,DataOwnerCode
alphom,ALGEMEEN
alpcol,ALGEMEEN
alppns,ALGEMEEN
alscom,ALGEMEEN
alshay,ALGEMEEN
